133.0005.883; ist nicht vorhanden
133.0395.648; ist nicht vorhanden
133.0005.886; ist nicht vorhanden
133.0005.887; ist nicht vorhanden
101.0464.044; ist nicht vorhanden
133.0396.129; ist nicht vorhanden
133.0191.018; ist nicht vorhanden
133.0396.130; ist nicht vorhanden
133.0005.914; ist nicht vorhanden
133.0005.916; ist nicht vorhanden
133.0396.142; ist nicht vorhanden
133.0191.396; ist nicht vorhanden
115.0007.297; ist nicht vorhanden
133.0396.147; ist nicht vorhanden
133.0005.928; ist nicht vorhanden
115.0007.374; ist nicht vorhanden
101.0549.462; ist nicht vorhanden
115.0007.868; ist nicht vorhanden
133.0396.199; ist nicht vorhanden
133.0005.933; ist nicht vorhanden
101.0554.877; ist nicht vorhanden
133.0396.200; ist nicht vorhanden
115.0007.869; ist nicht vorhanden
133.0396.217; ist nicht vorhanden
133.0005.937; ist nicht vorhanden
133.0191.744; ist nicht vorhanden
108.0026.893; ist nicht vorhanden
133.0192.029; ist nicht vorhanden
133.0396.220; ist nicht vorhanden
133.0192.328; ist nicht vorhanden
108.0266.459; ist nicht vorhanden
133.0396.246; ist nicht vorhanden
133.0193.128; ist nicht vorhanden
108.0280.340; ist nicht vorhanden
133.0005.954; ist nicht vorhanden
133.0005.956; ist nicht vorhanden
115.0007.875; ist nicht vorhanden
133.0396.249; ist nicht vorhanden
115.0014.129; ist nicht vorhanden
133.0396.251; ist nicht vorhanden
133.0006.168; ist nicht vorhanden
108.0312.174; ist nicht vorhanden
115.0014.130; ist nicht vorhanden
133.0193.753; ist nicht vorhanden
108.0312.175; ist nicht vorhanden
133.0006.408; ist nicht vorhanden
133.0193.789; ist nicht vorhanden
133.0007.453; ist nicht vorhanden
133.0396.283; ist nicht vorhanden
133.0007.454; ist nicht vorhanden
115.0014.133; ist nicht vorhanden
133.0396.287; ist nicht vorhanden
133.0193.793; ist nicht vorhanden
133.0007.666; ist nicht vorhanden
133.0401.019; ist nicht vorhanden
133.0007.668; ist nicht vorhanden
133.0401.029; ist nicht vorhanden
133.0401.041; ist nicht vorhanden
133.0401.120; ist nicht vorhanden
133.0007.754; ist nicht vorhanden
115.0017.231; ist nicht vorhanden
115.0017.232; ist nicht vorhanden
133.0401.143; ist nicht vorhanden
133.0007.768; ist nicht vorhanden
115.0029.709; ist nicht vorhanden
133.0417.121; ist nicht vorhanden
133.0193.878; ist nicht vorhanden
133.0193.879; ist nicht vorhanden
133.0007.840; ist nicht vorhanden
115.0030.696; ist nicht vorhanden
133.0425.990; ist nicht vorhanden
133.0007.845; ist nicht vorhanden
115.0030.697; ist nicht vorhanden
133.0193.902; ist nicht vorhanden
133.0425.991; ist nicht vorhanden
133.0193.903; ist nicht vorhanden
108.0492.716; ist nicht vorhanden
108.0492.717; ist nicht vorhanden
133.0007.851; ist nicht vorhanden
133.0425.995; ist nicht vorhanden
115.0031.127; ist nicht vorhanden
133.0193.908; ist nicht vorhanden
108.0492.719; ist nicht vorhanden
115.0031.130; ist nicht vorhanden
133.0425.996; ist nicht vorhanden
133.0007.856; ist nicht vorhanden
133.0195.704; ist nicht vorhanden
110.0029.814; ist nicht vorhanden
133.0195.731; ist nicht vorhanden
110.0029.822; ist nicht vorhanden
133.0007.867; ist nicht vorhanden
115.0043.433; ist nicht vorhanden
133.0426.197; ist nicht vorhanden
133.0195.733; ist nicht vorhanden
115.0043.434; ist nicht vorhanden
133.0426.198; ist nicht vorhanden
115.0043.435; ist nicht vorhanden
133.0007.877; ist nicht vorhanden
133.0007.878; ist nicht vorhanden
133.0195.736; ist nicht vorhanden
133.0195.738; ist nicht vorhanden
133.0007.880; ist nicht vorhanden
133.0195.739; ist nicht vorhanden
